NYSE Stock Exchange,,,,,,,,,,,
Thursday March 24 2016 5:31 PM,,,,,,,,,,,
,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,YTD % Chg
Lloyds Banking Group ADR,LYG,3.9,3.91,3.87,3.91,0.01,0.26,2217976,5.65,3.27,-10.32
Lockheed Martin,LMT,221.05,221.5,217.14,218,-3.26,-1.47,1269755,227.91,181.91,0.39
Loews,L,38.36,38.53,38.19,38.36,-0.28,-0.72,653567,42.59,33.84,-0.1
Louisiana-Pacific,LPX,15.71,16.07,15.62,15.8,,,2360126,18.97,13.31,-12.27
Lowe's,LOW,74.35,74.88,73.83,74.77,-0.01,-0.01,3478168,78.13,62.62,-1.67
LSB Industries,LXU,12.12,12.77,11.82,12.76,0.49,3.99,560030,47.33,3.68,76
L.S. Starrett Cl A,SCX,10.74,10.74,10.48,10.58,-0.16,-1.49,6359,20.75,8.4,8.85
LTC Properties,LTC,44.1,44.5,43.7,44.49,0.12,0.27,244829,46.98,38.64,3.13
Luby's,LUB,4.99,5,4.91,4.98,0.03,0.61,19534,5.55,3.71,11.41
Lumber Liquidators Holdings,LL,12.57,13.23,12.3,13.15,0.61,4.86,2039637,35.18,10.01,-24.25
Luxfer Holdings ADR,LXFR,10.13,10.56,10.13,10.45,0.13,1.26,44457,14.12,9.17,6.2
Luxoft Holding,LXFT,54.54,56.05,54.35,55.3,-0.11,-0.2,168085,80.64,46.85,-28.3
Luxottica Group ADR,LUX,54.48,54.71,54,54.49,-0.37,-0.67,25045,74,53,-15.99
Lydall,LDL,32.97,33.03,32.12,32.72,-0.29,-0.88,54566,38.86,25.28,-7.78
LyondellBasell Industries,LYB,83.61,85.4,83.29,85.37,0.66,0.78,2596072,107.32,69.09,-1.76
Macerich,MAC,78.5,78.72,78.13,78.55,-0.15,-0.19,1176684,87.35,71.98,-2.65
Mack-Cali Realty,CLI,22.04,22.07,21.85,22.03,-0.09,-0.41,353552,24.26,16.85,-5.65
Macquarie Infrastructure,MIC,63.34,65.2,62.82,64.99,1.31,2.06,549940,87.88,51.83,-10.48
Macy's,M,43.45,43.55,42.88,43.48,0.06,0.14,2609437,73.61,34.05,24.3
Madison Square Garden,MSG,161.45,161.45,158.74,161,-0.92,-0.57,86720,184.67,139.1,-0.49
Magellan Midstream Partners,MMP,66.6,68.96,66.32,68.24,0.69,1.02,695998,85.49,54.51,0.47
MagnaChip Semiconductor,MX,5.05,5.09,4.83,5.05,-0.05,-0.98,110616,9.88,3.1,-4.54
Magna International,MGA,41.45,41.46,40.84,41.4,-0.57,-1.36,2156422,59.42,30.41,2.07
Mallinckrodt,MNK,59.68,61.46,58.66,60.06,-0.38,-0.63,2208192,132.6,50.9,-19.52
Manchester United Cl A,MANU,13.64,13.71,13.38,13.52,-0.12,-0.88,40176,19.74,13.3,-24.09
Manitowoc,MTW,4.37,4.41,4.22,4.37,-0.02,-0.46,2383697,4.79,2.48,34.71
Manitowoc Foodservice,MFS,14.18,14.29,13.88,14.07,-0.22,-1.54,689961,15.48,11.16,10.79
Manning&Napier,MN,7.5,7.73,7.47,7.66,-0.02,-0.26,79605,13.98,5.6,-9.78
ManpowerGroup,MAN,78.88,79.9,78.28,79.88,0.73,0.92,595045,96.87,69.66,-5.23
Manulife Financial,MFC,13.96,13.97,13.68,13.93,-0.16,-1.14,2034766,19.61,10.99,-7.01
Marathon Oil,MRO,9.77,10.45,9.65,10.29,0.1,0.98,28196377,31.53,6.52,-18.27
Marathon Petroleum,MPC,36.94,37.35,36.19,36.87,-0.37,-0.99,4902386,60.38,29.24,-28.88
Marcus,MCS,18.96,19.46,18.9,19.33,0.36,1.9,56977,22.21,17.44,1.9
Marcus&Millichap,MMI,24.61,24.82,24.16,24.8,0.07,0.28,106153,53.92,18.77,-14.89
Marine Harvest ADR,MHG,15.43,15.54,15.39,15.5,-0.09,-0.58,31479,15.76,11,17.6
MarineMax,HZO,18.5,18.77,18.24,18.57,0.07,0.38,126021,27.33,13.56,0.81
Marine Products,MPX,7.19,7.34,7.19,7.28,0.01,0.14,3103,8.9,4.92,20.53
Marin Software,MRIN,2.93,3.06,2.89,3.02,0.09,3.07,114481,7.62,2.61,-15.64
Markel,MKL,882.02,891.99,867.45,878.8,-6.37,-0.72,77514,937.91,736.96,-0.52
Marriott Vacations Worldwide,VAC,64.4,65.67,64.32,65.48,0.9,1.39,177387,93.4,45.95,14.98
Marsh&McLennan,MMC,59.28,59.86,59.11,59.8,0.26,0.44,1641063,60.22,50.81,7.84
Martin Marietta Materials,MLM,153.03,153.79,150.75,153.67,-0.17,-0.11,612543,178.67,108.31,12.51
Masco,MAS,30.84,30.92,30.67,30.89,-0.05,-0.16,1803102,31.37,22.39,9.15
Masonite International,DOOR,63.3,63.84,62.68,63.5,-0.05,-0.08,251865,73.26,45.14,3.71
MasTec,MTZ,20.07,20.33,19.89,20.28,0.05,0.25,501043,21.52,12.44,16.69
MasterCard Cl A,MA,91.3,91.97,91.3,91.91,-0.22,-0.24,2441821,101.76,74.61,-5.6
Matador Resources,MTDR,18.1,19.02,17.54,18.83,0.06,0.32,1920029,29.9,11.13,-4.75
Materion,MTRN,25.41,26.25,25.31,26.25,0.64,2.5,102254,41.85,20.62,-6.25
Matson,MATX,38.88,39.47,38.52,39.37,0.31,0.79,133445,53.18,34.55,-7.65
Maui Land&Pineapple,MLP,5.83,6,5.75,5.92,0.2,3.5,8036,6.41,4.73,8.42
Maximus,MMS,49.83,50.71,49.44,50.22,0.23,0.46,249923,70,45.15,-10.72
MaxLinear,MXL,17.77,17.77,16,17.35,-0.62,-3.45,3537818,18.82,7.72,17.79
MaxPoint Interactive,MXPT,1.79,1.79,1.7,1.73,0.01,0.58,61757,10.14,1.16,1.17
MBIA,MBI,8.66,8.73,8.42,8.68,-0.09,-1.03,3732625,9.98,4.94,33.95
McClatchy Cl A,MNI,1.02,1.06,1.02,1.03,0.01,0.98,170394,1.93,0.75,-14.88
McCormick,MKC,95.52,96.46,95.14,96.33,0.49,0.51,1024000,96.46,75.11,12.59
McCormick Com. Vtg.,MKCV,94.96,96.14,94.96,96.14,2.47,2.64,1051,96.14,75.2,11.31
McDermott International,MDR,3.7,4,3.61,3.97,0.17,4.47,2331997,6,2.2,18.51
McDonald's,MCD,123.69,124,122.66,123.29,-0.9,-0.72,5406655,125,87.5,4.36
McEwen Mining,MUX,1.87,1.9,1.8,1.87,,,1225157,2.13,0.65,76.42
McGraw Hill Financial,MHFI,96.3,96.78,95.93,96.39,-0.83,-0.85,1344957,108.14,78.55,-2.22
McKesson,MCK,154.02,158.4,153.94,157.29,2.26,1.46,1464210,243.61,148.29,-20.25
M.D.C. Holdings,MDC,23.54,23.82,23.17,23.79,0.38,1.62,395150,31.23,19.28,-6.82
MDU Resources Group,MDU,18.7,18.96,18.39,18.94,0.09,0.48,802987,23.12,15.57,3.38
Mead Johnson Nutrition,MJN,81.07,82.04,80.4,81.98,0.28,0.34,1492735,104.34,65.53,3.84
Mechel ADR,MTL,1.72,1.78,1.7,1.77,0.05,2.91,105599,3,1.23,8.22
Media General,MEG,16.21,16.29,16,16.15,-0.11,-0.68,1387606,17.6,9.74,
Medical Properties Trust,MPW,12.47,12.49,12.31,12.39,-0.17,-1.35,2667294,15.42,9.61,7.65
Medifast,MED,28.94,29.29,28.66,29.23,0.22,0.76,81323,33.56,26.14,-3.79
Medley Management Cl A,MDLY,5.4,5.58,5.35,5.53,0.04,0.73,43422,12.3,3.43,-2.81
Mednax,MD,64.49,65.05,63.77,64.27,-0.64,-0.99,755781,86.09,61.4,-10.31
Medtronic,MDT,74.02,74.23,73.47,73.97,-0.53,-0.71,3852654,79.08,55.54,-3.84
Merck&Co,MRK,52.79,53.35,52.59,53.07,-0.01,-0.02,7471404,61.7,45.69,0.47
Mercury General,MCY,53.48,54.24,53.23,54.24,0.56,1.04,137533,59.25,42.97,16.47
Meredith,MDP,45.39,45.59,44.85,45.58,0.07,0.15,171180,55.94,35.03,5.39
Meritage Homes,MTH,33.65,33.8,32.93,33.7,0.06,0.18,576266,49.9,25.48,-0.85
Meritor,MTOR,7.44,7.57,7.19,7.55,0.1,1.34,560290,14.62,5.69,-9.58
Mesabi Trust,MSB,5.8,6.25,5.66,6.2,0.38,6.53,53405,16.4,3,37.17
Mesa Royalty Trust,MTR,7.2,7.36,6.95,7,-0.1,-1.41,3223,23.1,5.64,-6.67
Metaldyne Performance Group,MPG,14.62,15.1,14.2,14.95,0.27,1.84,100042,24.62,10.87,-18.48
Methode Electronics,MEI,27.5,27.72,27.09,27.6,-0.08,-0.29,150088,49,22.67,-13.29
MetLife,MET,42.8,42.8,41.7,42.3,-1.11,-2.56,8466589,58.23,35,-12.26
Mettler-Toledo International,MTD,335.24,338.38,334.53,337.89,0.71,0.21,76287,350.11,275.3,-0.37
MFA Financial,MFA,6.58,6.65,6.54,6.65,0.06,0.91,1419217,8.04,5.61,0.76
MFC Bancorp,MFCB,2.11,2.26,2.07,2.16,0.04,1.89,32018,5.04,1.5,10.77
MGIC Investment,MTG,7.33,7.38,7.12,7.35,-0.05,-0.68,3656925,11.72,5.63,-16.76
MGM Resorts International,MGM,20.51,20.72,20.2,20.52,-0.24,-1.16,6991798,24.41,16.18,-9.68
Michael Kors Holdings,KORS,55.81,55.82,55.05,55.53,-0.4,-0.72,1912263,67.88,34.83,38.62
Mid-America Apartment Communities,MAA,98.61,99.09,97.83,98.31,-0.64,-0.65,399337,102.2,72.51,8.26
Midcoast Energy Partners,MEP,4.36,4.75,4.33,4.49,-0.01,-0.22,94355,15.17,3.76,-53.81
MidSouth Bancorp,MSL,8,8.11,7.75,7.98,-0.16,-1.97,39933,15.78,6.51,-12.11
M/I Homes,MHO,17.65,17.99,17.61,17.92,0.16,0.9,81254,27,15.56,-18.25
Milacron Holdings,MCRN,15.89,16.42,15.77,16.4,0.4,2.5,52782,21.46,11.56,31.1
Miller Industries,MLR,19.26,19.75,19.09,19.6,0.32,1.66,17955,25.48,17,-10.01
Minerals Technologies,MTX,53.5,54.48,52.51,54.3,0.36,0.67,187478,74.27,35.89,18.4
Mistras Group,MG,25.43,25.73,24.74,25.64,0.31,1.22,171326,25.73,12.65,34.31
Mitsubishi UFJ Financial Group ADR,MTU,4.63,4.63,4.58,4.63,-0.14,-2.94,1163204,7.62,3.86,-25.56
MiX Telematics ADR,MIXT,3.9,3.9,3.76,3.85,-0.06,-1.53,25927,8.13,3.33,-8.77
Mizuho Financial Group ADR,MFG,3.02,3.02,2.96,2.98,-0.12,-3.87,408380,4.51,2.72,-26.24
Mobile TeleSystems ADR,MBT,7.51,8.02,7.37,8.02,0.35,4.56,3332992,12.79,5.14,29.77
Mobileye,MBLY,33.97,34.74,33.77,34.4,0.11,0.32,1854629,64.48,23.57,-18.64
Model N,MODN,10.42,10.57,10.34,10.49,0.04,0.38,33216,12.7,9.19,-6
Modine Manufacturing,MOD,10.16,10.53,9.84,10.49,0.8,8.26,291032,13.68,5.38,15.91
Moelis,MC,26.87,28.21,26.6,27.33,0.33,1.22,177551,31.84,22.91,-6.34
Mohawk Industries,MHK,185.07,187.05,184.43,186.82,0.51,0.27,355339,212.16,148.56,-1.36
Molina Healthcare,MOH,62.71,63.88,62.08,63.34,0.42,0.67,744777,82.37,48,5.34
Molson Coors Brewing Cl B,TAP,94.63,95.32,94.56,95.31,-0.21,-0.22,1220447,95.74,63.91,1.48
Monmouth Real Estate Investment Cl A,MNR,11.27,11.63,11.26,11.53,0.22,1.95,307268,11.66,9.02,10.23
Monogram Residential Trust,MORE,9.85,9.97,9.83,9.95,0.04,0.4,730804,10.25,7.67,1.95
Monsanto,MON,89.4,90.14,88.65,90.1,0.03,0.03,2800878,123.82,81.22,-8.55
Monster Worldwide,MWW,3.17,3.36,3.12,3.22,0.05,1.58,2475218,8.23,2.43,-43.8
Moody's,MCO,93.52,93.52,91.93,92.95,-1.31,-1.39,1759066,113.86,77.76,-7.36
Moog Cl A,MOGA,43.63,45.01,43.06,44.99,1.18,2.69,191515,76.89,38.11,-25.76
Moog Cl B,MOGB,44.12,44.58,43.88,44.58,0.69,1.57,2540,76.54,38.32,-26.54
Morgan Stanley,MS,24.94,24.94,24.29,24.93,-0.34,-1.35,15741327,41.04,21.16,-21.63
Mosaic,MOS,27.75,27.75,26.86,27.26,-0.76,-2.71,6415474,47.68,22.02,-1.2
Motorola Solutions,MSI,73.04,73.04,72.4,72.59,-0.56,-0.77,897896,75.81,56.4,6.05
Movado Group,MOV,29.54,29.69,29.22,29.62,0.1,0.34,64110,32.21,21.18,15.21
MPLX,MPLX,26.84,28.67,26.17,27.81,0.27,0.98,919235,80,16.34,-29.29
MRC Global,MRC,12.74,13.29,12.61,13.18,0.18,1.38,1590114,17.62,8.5,2.17
MSA Safety,MSA,46.31,47.16,45.99,47.14,0.65,1.4,63269,54.54,37.68,8.44
MSCI,MSCI,71.06,71.4,70.27,70.74,-0.86,-1.2,610811,73.71,56.87,-1.93
MSC Industrial Direct,MSM,74.17,74.7,74.03,74.57,-0.25,-0.33,582288,75.14,54.19,32.52
MSG Networks Cl A,MSGN,17.18,17.18,16.7,16.74,-0.56,-3.24,515225,26.38,15.3,-19.52
M&T Bank,MTB,111.06,111.26,109.75,111.25,-0.72,-0.64,613719,134,100.08,-8.19
M&T Bank WT,MTB%,38.95,38.95,38,38,-1.58,-3.99,300,59,30.26,-22
Mueller Industries,MLI,28.35,28.76,27.98,28.73,0.15,0.52,200686,37.18,23.09,6.01
Mueller Water Products,MWA,9.32,9.5,9.26,9.5,0.14,1.5,853909,10.49,7.04,10.47
Multi Packaging Solutions International,MPSX,15.86,15.86,15.55,15.72,-0.25,-1.57,130267,18.81,12.9,-9.39
Murphy Oil,MUR,23.3,24.41,23.04,24.13,0.09,0.37,3911821,51.09,14.3,7.48
Murphy USA,MUSA,63.07,63.57,62.41,63.27,0.26,0.41,396325,73.97,47.73,4.17
MV Oil Trust,MVO,4.8,4.94,4.72,4.81,-0.07,-1.43,25940,17.1,3.26,-1.23
Myers Industries,MYE,12.38,12.8,12.35,12.79,0.34,2.73,45127,19.58,10.12,-3.98
Nabors Industries,NBR,8.19,8.7,8.02,8.69,0.22,2.6,6742663,16.99,4.93,2.12
NACCO Industries Cl A,NC,55.87,56.6,55.5,56.14,0.38,0.68,22097,62.96,40.04,33.03
Nam Tai Property,NTP,5.98,6.1,5.97,6.04,-0.01,-0.17,47155,6.63,3.51,4.32
National Bank Holdings,NBHC,20.01,20.24,19.91,20.14,0.07,0.35,120135,23.55,18.35,-5.76
National Fuel Gas,NFG,50.19,51.21,50.11,51.06,0.39,0.77,418830,66.07,37.03,19.44
National Grid ADR,NGG,70.17,70.49,69.94,70.43,0.53,0.76,389498,72.53,63.75,1.28
National Health Investors,NHI,64.7,65.26,64.14,65.2,0.25,0.38,217800,72.77,53.64,7.11
National Oilwell Varco,NOV,30.62,31.15,30.01,31.15,-0.23,-0.73,4845369,56.64,25.74,-6.99
National Presto Industries,NPK,82.74,84.94,81.38,84.94,1.78,2.14,44764,94.18,61.43,2.51
National Retail Properties,NNN,45.46,45.87,45.41,45.76,0.22,0.48,521387,46.14,33.62,14.26
National Storage Affiliates Trust,NSA,19.35,19.58,19.21,19.56,0.18,0.93,204026,20.59,11.5,14.19
Nationstar Mortgage Holdings,NSM,9.87,9.87,9.46,9.77,-0.22,-2.2,1486693,26.85,8.29,-26.93
Natural Gas Services Group,NGS,21.1,21.42,20.47,21.38,0.18,0.85,44274,26.09,15.96,-4.13
Natural Grocers by Vitamin Cottage,NGVC,21.14,21.52,20.8,21.36,0.05,0.23,64047,29.9,16.59,4.86
Natural Resource Partners,NRP,8.7,9,8.65,8.89,-0.07,-0.78,105824,74.5,5,-30
Natuzzi ADR,NTZ,1.53,1.64,1.44,1.49,,,91297,2.9,1.28,-7.45
Nautilus,NLS,18.16,18.39,18.11,18.32,0.02,0.11,225090,22.95,13.82,9.57
Navigant Consulting,NCI,14.98,15.24,14.81,15.22,0.12,0.79,204277,17.95,12.71,-5.23
Navigator Holdings,NVGS,15.66,16.03,15.07,16.03,0.28,1.78,368977,22.31,10.23,17.44
Navios Maritime Acquisition,NNA,1.56,1.61,1.53,1.57,0.01,0.64,496947,4.5,1.53,-47.84
Navios Maritime Holdings,NM,1.25,1.26,1.12,1.18,-0.11,-8.53,724252,4.51,0.68,-32.57
Navios Maritime Midstream Partners,NAP,9.91,9.91,9.7,9.83,-0.23,-2.29,51186,18,6.58,-14.3
Navios Maritime Partners,NMM,1.3,1.38,1.27,1.32,-0.02,-1.49,540880,13.39,0.79,-56.29
Navistar International,NAV,12.03,12.25,11.46,12.24,0.1,0.82,954758,30.49,5.78,38.46
NCI Building Systems,NCS,13.04,13.75,12.97,13.71,0.55,4.18,392947,17.82,9.07,10.48
NCR,NCR,28.27,29.2,28.09,29,0.58,2.04,2114032,36.5,18.02,18.56
Neenah Paper,NP,61.54,62.12,60.92,62,0.4,0.65,37933,69.63,52.7,-0.69
Neff Cl A,NEFF,6.78,7.05,6.53,6.93,0.1,1.46,58188,12.25,3.62,-9.53
Nelnet Cl A,NNI,39.28,39.47,38.84,39.36,-0.03,-0.08,138328,48.69,27.8,17.25
NeoPhotonics,NPTN,12.61,12.87,12.17,12.77,-0.04,-0.31,555676,13.25,5.25,17.59
NetSuite,N,64.95,66.57,64.42,66.44,0.77,1.17,536652,102.46,51.75,-21.48
NeuStar Cl A,NSR,26.8,26.8,26.31,26.59,-0.36,-1.34,431353,32.66,20,10.93
Nevro,NVRO,55.27,55.78,53.49,54.16,-1.34,-2.41,266189,72.51,36.51,-19.77
Newcastle Investment,NCT,4.11,4.19,4.05,4.17,0.06,1.46,261576,5.49,2.55,2.21
Newell Rubbermaid,NWL,42.8,43.47,42.72,42.98,-0.11,-0.26,3812388,50.9,33.26,-2.5
Newfield Exploration,NFX,31.33,32.51,31.14,32.38,0.26,0.81,4390715,41.34,20.84,-0.55
New Home,NWHM,11.1,11.39,10.94,11.19,0.09,0.81,73364,17.97,7.51,-13.66
New Jersey Resources,NJR,35.39,36.02,35.39,35.85,0.34,0.96,489410,36.57,26.77,8.77
NewMarket,NEU,391.56,393.3,386.02,387.85,-4.97,-1.27,52941,483.25,322.54,1.87
New Media Investment Group,NEWM,16,16.23,15.81,16.16,0.08,0.5,225709,24.32,13.96,-16.96
Newmont Mining,NEM,25.14,25.49,24.59,25.4,0.42,1.68,8550256,28.39,15.39,41.19
New Oriental Education&Technology Group ADR,EDU,34.14,35.19,33.84,34.88,0.65,1.9,558710,36.75,18.09,11.19
Newpark Resources,NR,4.03,4.19,3.96,4.19,0.08,1.95,536071,10.85,3.35,-20.64
New Relic,NEWR,24.17,24.18,23.73,24,-0.32,-1.32,262732,40.13,20.39,-34.12
New Residential Investment,NRZ,11.52,11.55,11.29,11.51,-0.05,-0.43,1978909,17.91,9.07,-5.35
New Senior Investment Group,SNR,9.54,9.73,9.45,9.51,-0.11,-1.14,320945,16.92,7.78,-3.55
New York,NWY,3.69,3.75,3.63,3.71,0.11,3.06,530250,3.75,1.82,62.01
New York Community Bancorp,NYCB,15.65,15.7,15.54,15.68,-0.09,-0.57,2599601,19.18,14.26,-3.92
New York REIT,NYRT,9.83,9.83,9.67,9.81,-0.05,-0.51,719835,11.9,8.87,-14.7
New York Times Cl A,NYT,12.39,12.56,12.32,12.53,0.06,0.48,611459,14.51,11.48,-6.63
NexPoint Residential Trust,NXRT,12.38,12.45,12.14,12.39,0.07,0.57,38554,15.32,10.35,-5.35
NextEra Energy,NEE,117.49,118.62,117.28,118.48,0.79,0.67,2400616,118.88,93.74,14.04
NextEra Energy Partners,NEP,25.84,27.34,25.61,26.74,0.71,2.73,318063,48.23,19.34,-10.42
NextEra Energy Un,NEEQ,60.48,60.74,59.76,60.74,0.27,0.45,36817,60.99,49,14.97
NGL Energy Partners,NGL,7.25,7.91,7,7.83,0.39,5.24,1015012,33.64,5.57,-29.08
Nidec ADR,NJ,17.44,17.46,17.32,17.4,-0.34,-1.92,96248,22.89,14.72,-4.61
Nielsen Holdings,NLSN,51.62,52.03,51.57,52,0.07,0.13,1035876,53.05,42.76,11.59
Nike Cl B,NKE,62.06,62.14,61.12,61.65,-0.79,-1.27,11773569,68.19,47.25,-1.36
Nimble Storage,NMBL,7.05,7.2,6.88,7.16,0.05,0.7,802144,32.16,5.64,-22.17
Nippon Telegraph&Telephone ADR,NTT,44.2,44.43,44.12,44.43,0.19,0.43,136050,45.78,30.65,11.8
Niska Gas Storage Partners,NKA,3.55,3.6,3.55,3.59,,,40097,3.99,1.21,14.7
NiSource,NI,22.98,23.15,22.86,23.03,0.01,0.04,2196022,23.42,16.04,18.04
NL Industries,NL,2.2,2.23,2.15,2.19,-0.02,-0.9,8287,8.25,1.92,-27.96
Noah Holdings ADR,NOAH,24.7,25.51,24.14,25.18,0.11,0.44,209478,37.96,18.66,-9.85
Noble,NE,10.16,10.7,10.1,10.43,-0.13,-1.23,10568196,18.58,6.66,-1.14
Noble Energy,NBL,31.87,32.38,31.2,32.34,-0.21,-0.65,3530625,53.67,23.77,-1.79
Nokia ADR,NOK,5.78,5.8,5.74,5.78,-0.09,-1.53,10595806,8.37,5.71,-17.66
Nomad Foods,NOMD,8.89,9.03,8.46,8.88,-0.05,-0.56,286787,23.11,6.4,-26
Nomura Holdings ADR,NMR,4.45,4.45,4.37,4.42,-0.13,-2.86,322899,7.32,3.96,-20.36
Norbord,OSB,18.67,18.83,18.39,18.4,-0.46,-2.44,4094,23.99,13.87,-6.41
Nord Anglia Education,NORD,20.16,20.75,20.05,20.57,0.22,1.08,57381,27.18,14.58,1.43
Nordic American Offshore,NAO,4.41,4.59,4.33,4.56,0.15,3.4,127619,10.55,3.23,-13.47
Nordic American Tankers,NAT,13.67,14.3,13.28,14.28,0.45,3.25,1132419,17.45,9.94,-8.11
Nordstrom,JWN,55.9,56.07,55.45,55.97,-0.07,-0.12,2006034,81.35,44.49,12.37
Norfolk Southern,NSC,82.19,83.92,81.4,83.87,1.01,1.22,635633,107.31,64.51,-0.85
Nortel Inversora ADR,NTL,19.98,19.98,19.01,19.77,-0.16,-0.8,2706,23.21,13.5,32.33
North American Energy Partners,NOA,1.92,1.98,1.91,1.97,0.03,1.55,22518,3.14,1.39,13.87
North Atlantic Drilling,NADL,2.82,2.92,2.42,2.86,-0.03,-1.04,179016,17.9,1.36,16.26
Northern Tier Energy,NTI,23.48,23.91,23.28,23.77,0.09,0.38,557243,29.03,22.15,-8.08
North European Oil Royalty Trust,NRT,8.15,8.15,7.75,8.13,-0.08,-0.97,13834,14.71,5.6,11.68
Northrop Grumman,NOC,193.67,194.68,193.25,194.2,-0.76,-0.39,729484,195.64,152.31,2.85
NorthStar Asset Management Group,NSAM,11.39,11.39,11.04,11.21,-0.25,-2.18,884357,24.23,9.17,-7.66
NorthStar Realty Europe,NRE,10.48,11.07,10.35,11,0.38,3.58,495746,16,7.81,-6.86
NorthStar Realty Finance,NRF,12.29,12.63,12.05,12.56,0.2,1.62,2567547,32.06,8.38,-26.25
NorthWestern,NWE,60.39,60.98,60.32,60.85,0.42,0.7,309481,61.98,48.44,12.17
Northwest Natural Gas,NWN,51.92,52.35,51.77,52.27,0.3,0.58,62619,53.88,42,3.28
Novartis ADR,NVS,73.29,73.47,72.89,73.3,-0.61,-0.83,1351289,106.84,70.64,-14.81
Novo Nordisk ADR,NVO,53.9,53.97,53.22,53.57,-0.44,-0.81,753251,60.34,46.17,-7.77
NOW Inc.,DNOW,17.7,18.23,17.6,18.21,0.18,1,804112,25.86,12.03,15.11
NQ Mobile ADR,NQ,4.52,4.94,4.36,4.88,0.53,12.18,2902636,6.54,2.72,34.07
NRG Energy,NRG,12.86,13.18,12.35,13.14,0.15,1.15,5768538,26.93,8.8,11.64
NRG Yield Cl A,NYLDA,12.77,13.21,12.47,13.2,0.38,2.96,241188,26.95,9.83,-5.1
NRG Yield Cl C,NYLD,13.21,13.72,13.05,13.69,0.31,2.32,377385,28.11,10.49,-7.25
NTT DoCoMo ADR,DCM,23.25,23.41,23.25,23.41,0.24,1.04,103825,23.91,16.55,14.2
Nucor,NUE,45.56,46.54,45.52,46.48,0.43,0.93,1974364,50.7,33.9,15.33
Nu Skin Enterprises Cl A,NUS,37.24,37.47,36.1,36.82,-0.65,-1.73,631862,62.87,23.51,-2.82
NuSTAR Energy,NS,38.8,39.93,38.31,39.38,-0.24,-0.61,362713,68.1,25.65,-1.8
NuSTAR GP Holdings,NSH,20.46,21.02,20.21,20.99,0.19,0.91,37628,39.94,12.86,-0.76
NVR,NVR,1730.89,1742.01,1710.27,1726,-3.11,-0.18,11852,1758.93,1292.11,5.05
Oaktree Capital Group,OAK,46.61,47.2,46,46.93,0.15,0.32,329763,56.54,38.66,-1.66
Oasis Petroleum,OAS,6.52,7.24,6.4,7.14,0.28,4.08,9650605,18.86,3.4,-3.12
Occidental Petroleum,OXY,67.27,68.74,67.25,68.51,0.22,0.32,4877533,82.03,58.22,1.37
Oceaneering International,OII,32.35,33.6,32.12,33.37,0.34,1.03,1580586,59.65,25.33,-11.06
Och-Ziff Capital Management,OZM,3.98,4.05,3.88,4,-0.01,-0.25,722830,13.49,3.44,-35.79
OCI Partners,OCIP,7.71,7.8,7.46,7.76,0.08,1.04,55658,19.28,5.57,8.84
Ocwen Financial,OCN,2.59,2.59,2.42,2.48,-0.07,-2.75,1827765,11.82,2.05,-64.42
OFG Bancorp,OFG,6.95,6.96,6.74,6.96,-0.12,-1.69,556609,17.25,4.56,-4.92
OGE Energy,OGE,27.93,28.12,27.75,28.09,,,1461607,33.21,23.37,6.85
Oi ADR New,OIBRC,1.44,1.5,1.44,1.45,0.01,0.69,37106,11.25,1.2,-52.46
Oil-Dri of America,ODC,33.01,33.01,32.29,32.46,-1.08,-3.22,10422,38.91,21.65,-11.87
Oil States International,OIS,29.87,31.06,29.85,31.06,0.44,1.44,554576,48.16,21.44,13.98
Old Republic International,ORI,17.91,17.95,17.75,17.92,-0.04,-0.22,1437385,19.11,14.62,-3.81
Olin,OLN,16.15,16.32,15.79,16.32,,,2466950,34.34,12.29,-5.45
OM Asset Management,OMAM,12.12,12.46,11.98,12.45,0.23,1.88,211421,20.05,10.27,-18.79
Omega Healthcare Investors,OHI,34.22,34.27,33.79,34.19,-0.11,-0.32,796275,42,26.96,-2.26
Omega Protein,OME,17.08,17.2,16.19,16.6,-0.66,-3.82,512113,25.49,11.11,-25.23
Omnicom Group,OMC,80.97,81.4,80.63,81.34,0.05,0.06,1166292,81.96,64.12,7.51
OMNOVA Solutions,OMN,5.31,5.35,5.19,5.22,-0.16,-2.97,78870,8.6,4.37,-14.85
On Assignment,ASGN,34.39,34.93,34.07,34.86,0.31,0.9,239393,51,29.34,-22.45
On Deck Capital,ONDK,7.35,7.7,7.15,7.62,0.24,3.25,254850,22.42,6.05,-26.02
OneBeacon Insurance Group Cl A,OB,12.7,12.84,12.64,12.67,-0.03,-0.24,48874,16.69,11.68,2.1
ONE Gas,OGS,58.48,60.14,58.39,59.98,1.31,2.23,382559,60.64,40.83,19.55
One Liberty Properties,OLP,21.29,21.48,21.13,21.36,0.06,0.28,23896,24.81,18.8,-0.47
OneMain Holdings,OMF,26.23,26.64,25.38,26.64,-0.05,-0.19,677051,53.8,18.55,-35.87
ONEOK,OKE,27.91,28.73,27.47,28.68,0.24,0.84,3182722,51.53,18.84,16.3
ONEOK Partners,OKS,28.71,29.83,28.45,29.45,0.25,0.86,376932,43.62,21.86,-2.26
Ooma,OOMA,5.92,6.06,5.81,5.97,0.05,0.84,58379,12.44,5.43,-5.98
Opko Health,OPK,11.33,11.39,10.96,11.28,-0.05,-0.44,4701091,19.2,7.12,12.24
