NYSE Stock Exchange,,,,,,,,,,,
Thursday March 24 2016 5:31 PM,,,,,,,,,,,
,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,YTD % Chg
Ingram Micro Cl A,IM,36.25,36.36,36.1,36.19,-0.14,-0.39,1308693,36.66,23.7,19.12
Ingredion,INGR,104.67,105,104.32,104.8,-0.07,-0.07,320566,108,76.26,9.35
Inland Real Estate,IRC,10.58,10.6,10.58,10.59,0.01,0.09,1560969,10.92,7.96,-0.28
Inphi,IPHI,32.86,33.57,32.28,33.51,0.57,1.73,1223258,33.57,17.27,24.02
Insperity,NSP,50.88,51.17,50.62,51.14,0.03,0.06,90346,55.11,41.77,6.21
Installed Building Products,IBP,24.96,25.02,24.43,24.75,-0.29,-1.16,189249,29.97,17.6,-0.32
Instructure,INST,16.74,16.85,16.03,16.4,-0.43,-2.55,50207,23.63,13.21,-21.23
Intelsat,I,2.37,2.53,2.27,2.39,-0.01,-0.42,282082,12.93,1.44,-42.55
Intercontinental Exchange,ICE,235.38,236.44,232.88,234.35,-2.2,-0.93,517416,268.89,220.28,-8.55
InterContinental Hotels Group ADR,IHG,39.4,39.6,39.27,39.52,0.12,0.3,70292,44.72,31.08,2.01
International Business Machines,IBM,144.98,148.22,144.49,147.95,2.55,1.75,4749127,176.3,116.9,7.51
International Flavors&Fragrances,IFF,112.59,113.78,111.74,113.24,-0.39,-0.34,668566,122.64,97.24,-5.35
International Game Technology,IGT,17.39,17.79,17.13,17.59,0.17,0.98,548464,21.23,12.48,8.71
International Paper,IP,40.5,40.82,40.22,40.79,0.08,0.2,2682537,56.49,32.5,8.2
InterOil,IOC,28.13,29.12,27.67,29.08,0.46,1.61,204507,61.15,21.18,-7.45
Interpublic Group,IPG,21.57,21.62,21.44,21.52,-0.12,-0.55,3050612,23.8,18.16,-7.56
InterXion Holding,INXN,33.43,33.84,33.43,33.64,0.06,0.18,135185,34.41,25.85,11.58
IntraLinks Holdings,IL,7.72,7.96,7.67,7.92,0.17,2.19,189796,12.8,6.49,-12.68
Intrawest Resorts Holdings,SNOW,8.03,8.07,7.94,7.97,-0.07,-0.87,83384,12.75,6.95,1.92
Intrepid Potash,IPI,1.13,1.2,1.03,1.17,0.02,1.74,969174,13.24,0.65,-60.34
Intrexon,XON,35.25,36.52,34.48,35.94,0.48,1.35,1257494,69.45,18.52,19.2
Invacare,IVC,12.24,12.38,11.7,12.15,-0.08,-0.65,570590,23.59,11.67,-30.13
InvenSense,INVN,7.76,8.07,7.67,8.06,0.23,2.94,642054,16.47,6.6,-21.21
INVESCO,IVZ,30.02,30.34,29.82,30.33,-0.07,-0.23,2037545,42.05,24.9,-9.41
Invesco Mortgage Capital,IVR,11.63,11.87,11.53,11.85,0.16,1.37,1711825,16.13,9.74,-4.36
Investment Technology Group,ITG,21.1,21.1,20.5,20.94,-0.23,-1.09,132462,32.07,12.63,23.03
Investors Real Estate Trust,IRET,6.94,6.97,6.82,6.96,-0.02,-0.29,382204,8.39,5.87,0.14
Invitae,NVTA,8.73,8.98,8.39,8.92,0.18,2.06,23132,17.98,5.66,8.65
ION Geophysical,IO,7.86,8.33,7.62,8.24,0.21,2.62,78373,37.2,2.55,9.19
Iron Mountain,IRM,32.7,32.82,32.38,32.77,-0.08,-0.24,780274,38.49,23.64,21.33
IRSA-Inversiones y Representaciones GDR,IRS,14.3,14.5,14.09,14.24,-0.17,-1.18,33671,20.12,8.09,15.77
Israel Chemicals,ICL,4.21,4.22,4.12,4.17,-0.03,-0.71,55046,7.49,3.68,2.96
iStar,STAR,8.72,9.17,8.67,9.16,0.39,4.45,856888,14.77,7.58,-21.91
Itau Unibanco Holding ADR,ITUB,8.33,8.37,8.19,8.35,-0.09,-1.07,29104777,12.12,5.48,28.26
ITC Holdings,ITC,42.47,42.63,42.33,42.48,-0.11,-0.26,828918,43.29,30.33,8.23
ITT Corp.,ITT,36.55,36.69,35.8,36.67,-0.07,-0.19,985463,43.96,29.15,0.96
ITT Educational Services,ESI,3.15,3.31,3.08,3.26,0.09,2.84,206852,7.21,1.93,-12.6
Jabil Circuit,JBL,19,19.06,18.84,18.94,-0.15,-0.79,2264325,26,16.89,-18.68
Jacobs Engineering Group,JEC,43.35,43.4,42.92,43.27,-0.39,-0.89,694983,48.25,34.76,3.15
J. Alexander's Holdings,JAX,9.6,9.62,9.46,9.53,-0.04,-0.42,69247,12.1,8.52,-12.73
James Hardie Industries ADR,JHX,14.19,14.19,13.04,13.33,0.14,1.06,52002,14.44,10.19,5.21
Janus Capital Group,JNS,14,14.03,13.8,14.01,-0.13,-0.92,1067398,18.98,11.07,-0.57
Jarden,JAH,57.44,58,57.39,57.65,0.02,0.03,1838604,58.38,43.19,0.93
Javelin Mortgage Investment,JMI,7.15,7.18,7.15,7.16,,,203329,8.64,5.06,14.19
J.C. Penney,JCP,10.9,10.93,10.54,10.91,-0.05,-0.46,11278063,11.99,6,63.81
Jernigan Capital,JCAP,14.98,15.57,14.98,15.07,0.09,0.6,72885,21.99,12.58,0.8
J.G. Wentworth Cl A,JGW,1.11,1.17,1.11,1.15,0.04,3.6,53143,11.36,0.95,-36.11
JinkoSolar Holding ADR,JKS,20.21,20.66,19.65,20.3,-0.25,-1.22,582562,32.28,14.32,-26.64
JMP Group,JMP,5,5.07,4.98,5.05,0.05,1,86899,8.63,4.95,-7.51
J.M. Smucker,SJM,128.48,129.12,127.95,128.71,-0.06,-0.05,532922,130.49,104.3,4.35
John Bean Technologies,JBT,54.23,54.91,54.09,54.59,0.18,0.33,112993,57.48,31.89,9.55
Johnson Controls,JCI,38,38.34,37.6,38.32,0.23,0.6,3041754,54.52,33.62,-2.96
Johnson&Johnson,JNJ,108.22,108.61,107.75,108.31,-0.19,-0.18,6140885,108.83,81.79,5.44
John Wiley&Sons Cl A,JWA,47.28,48.13,47.19,48.11,0.41,0.86,176500,62.48,39.88,6.84
John Wiley&Sons Cl B,JWB,47.73,47.73,47.73,47.73,0.85,1.82,253,62.01,40.18,5.12
Jones Energy Cl A,JONE,3.19,3.4,3.06,3.35,0.09,2.76,272504,11.63,1.16,-12.99
Jones Lang LaSalle,JLL,115.44,116.02,113.7,115.83,-0.71,-0.61,473619,179.97,96.67,-27.54
Journal Media Group,JMG,11.96,11.98,11.96,11.97,,,21853,12.45,5.99,-0.42
Joy Global,JOY,15.04,15.65,14.44,15.62,0.33,2.16,3179807,44.75,8.35,23.87
JP Energy Partners,JPEP,5.9,5.9,5.78,5.87,-0.13,-2.17,53487,15,1.89,19.31
JPMorgan Chase,JPM,59.3,59.51,58.87,59.48,-0.46,-0.77,12770020,70.61,50.07,-9.92
JPMorgan Chase Wt,JPM%,18,18.1,17.58,18.1,-0.42,-2.27,51397,28.04,14.23,-23.6
Jumei International Holding ADR,JMEI,6.28,6.36,6.24,6.36,0.06,0.95,791268,28.17,4.9,-29.8
Juniper Networks,JNPR,25.52,25.55,24.96,25.36,-0.28,-1.09,5735634,32.39,21.49,-8.12
Just Energy Group,JE,5.92,5.96,5.83,5.9,-0.02,-0.34,91871,7.54,4.61,-17.13
K12,LRN,9.49,9.81,9.31,9.77,0.24,2.52,95777,17.63,7.11,11.02
Kadant,KAI,44.01,44.42,43.1,44.17,0.07,0.16,41024,56.29,33.38,8.77
Kaman,KAMN,41.57,42.44,41.41,42.43,0.53,1.26,180173,44.27,35.09,3.97
Kansas City Southern,KSU,84.45,85.39,83.58,84.94,-0.41,-0.48,922600,108.29,62.2,13.75
KapStone Paper&Packaging,KS,12.44,13.25,12.34,13.21,0.7,5.6,1338154,32.94,8.95,-41.52
KAR Auction Services,KAR,36.76,37.24,36.49,37.23,0.4,1.09,843522,39.87,31.54,0.54
Kate Spade,KATE,24.25,24.26,23.62,24.07,-0.29,-1.19,1884632,35.23,15.1,35.45
KB Financial Group ADR,KB,27.23,27.44,27.19,27.44,-0.28,-1.01,91438,38.91,22.84,-1.54
KB Home,KBH,13.84,14.05,13.34,13.93,0.83,6.34,9631500,17.42,9.04,12.98
KBR,KBR,14.85,15.04,14.71,15.01,0.05,0.33,785782,20.77,11.61,-11.29
KCG Holdings,KCG,11.68,11.79,11.54,11.76,-0.03,-0.25,167602,13.75,9.75,-4.47
Kellogg,K,74.93,75.63,74.68,75.44,0.4,0.53,1200573,76.81,61.13,4.39
Kemet,KEM,1.84,1.84,1.76,1.82,-0.03,-1.62,78662,4.62,1.26,-23.21
Kemper Corp,KMPR,28.59,28.59,28.03,28.34,-0.47,-1.63,119392,41.65,23.51,-23.92
