Last Updated Date,2/17/16,,
,,,
Country Name,Country Code,Area (sq km),Area (sq miles)
Thailand,THA,513120,198117
Timor-Leste,TLS,14870,5741
Togo,TGO,56790,21927
Tonga,TON,750,290
Trinidad and Tobago,TTO,5130,1981
Tunisia,TUN,163610,63170
Turkey,TUR,783560,302534
Turkmenistan,TKM,488100,188456
Turks and Caicos Islands,TCA,950,367
Tuvalu,TUV,30,12
Uganda,UGA,241550,93263
Ukraine,UKR,603550,233032
United Arab Emirates,ARE,83600,32278
United Kingdom,GBR,243610,94058
United States,USA,9831510,3795966
Uruguay,URY,176220,68039
Uzbekistan,UZB,447400,172742
Vanuatu,VUT,12190,4707
Venezuela,VEN,912050,352144
Vietnam,VNM,330972,127789
Virgin Islands (U.S.),VIR,350,135
West Bank and Gaza,PSE,6020,2324
Yemen,YEM,527970,203850
Zambia,ZMB,752610,290584
Zimbabwe,ZWE,390760,150873
